CRASH_DATE,Unnamed: 0,PERSON_INJURY,PERSON_SEX,PERSON_AGE
2021-01-01,0,Injured,F,38.725
2021-01-01,2,Killed,F,60.0
2021-01-02,4,Injured,F,35.60526315789474
2021-01-03,7,Injured,F,33.48936170212766
2021-01-04,9,Injured,F,41.075
2021-01-05,12,Injured,F,36.0
2021-01-06,14,Injured,F,38.675
2021-01-07,17,Injured,F,41.96363636363636
2021-01-08,20,Injured,F,36.84444444444444
2021-01-09,22,Injured,F,30.3
2021-01-10,24,Injured,F,28.03125
2021-01-11,26,Injured,F,39.064516129032256
2021-01-12,28,Injured,F,43.833333333333336
2021-01-13,30,Injured,F,39.63636363636363
2021-01-14,33,Injured,F,39.526315789473685
2021-01-15,36,Injured,F,39.30232558139535
2021-01-16,38,Injured,F,33.36585365853659
2021-01-17,41,Injured,F,28.72
2021-01-18,43,Injured,F,36.57142857142857
2021-01-19,45,Injured,F,42.58536585365854
2021-01-20,47,Injured,F,38.76923076923077
2021-01-21,50,Injured,F,40.75675675675676
2021-01-22,52,Injured,F,37.15151515151515
2021-01-23,55,Injured,F,38.21153846153846
2021-01-24,57,Injured,F,31.61764705882353
2021-01-25,59,Injured,F,46.22222222222222
2021-01-26,61,Injured,F,41.203125
2021-01-27,63,Injured,F,39.09090909090909
2021-01-28,65,Injured,F,38.54285714285714
2021-01-29,67,Injured,F,37.84615384615385
2021-01-29,69,Killed,F,52.0
2021-01-30,71,Injured,F,37.696969696969695
2021-01-31,74,Injured,F,34.73684210526316
2021-02-01,76,Injured,F,33.5
2021-02-02,78,Injured,F,40.91666666666666
2021-02-03,80,Injured,F,39.26315789473684
2021-02-04,82,Injured,F,38.7906976744186
2021-02-05,84,Injured,F,39.82608695652174
2021-02-06,86,Injured,F,34.69387755102041
2021-02-06,88,Killed,F,64.0
2021-02-07,89,Injured,F,33.1875
2021-02-08,91,Injured,F,42.57446808510638
2021-02-09,93,Injured,F,41.34782608695652
2021-02-10,95,Injured,F,38.1219512195122
2021-02-11,97,Injured,F,44.333333333333336
2021-02-12,99,Injured,F,38.68181818181818
2021-02-13,101,Injured,F,38.65625
2021-02-14,104,Injured,F,30.82608695652174
2021-02-15,106,Injured,F,40.6
2021-02-15,108,Killed,F,54.0
2021-02-16,110,Injured,F,35.666666666666664
2021-02-16,112,Killed,F,68.0
2021-02-17,114,Injured,F,37.125
2021-02-18,117,Injured,F,41.0
2021-02-18,119,Killed,F,73.0
2021-02-19,120,Injured,F,37.18181818181818
2021-02-20,122,Injured,F,40.8
2021-02-21,124,Injured,F,34.94736842105263
2021-02-22,126,Injured,F,46.096774193548384
2021-02-22,128,Killed,F,84.0
2021-02-23,129,Injured,F,35.02325581395349
2021-02-24,131,Injured,F,37.37878787878788
2021-02-25,134,Injured,F,39.25
2021-02-26,136,Injured,F,37.21666666666667
2021-02-26,138,Killed,F,32.0
2021-02-27,139,Injured,F,38.48717948717949
2021-02-28,141,Injured,F,42.41025641025641
2021-03-01,143,Injured,F,36.06896551724138
2021-03-02,145,Injured,F,35.932203389830505
2021-03-03,147,Injured,F,41.7
2021-03-04,150,Injured,F,37.66666666666666
2021-03-04,152,Killed,F,24.0
2021-03-05,154,Injured,F,34.702127659574465
2021-03-05,156,Killed,F,46.0
2021-03-06,157,Injured,F,37.02564102564103
2021-03-07,159,Injured,F,37.02777777777778
2021-03-08,161,Injured,F,42.97368421052632
2021-03-09,163,Injured,F,43.65384615384615
2021-03-10,166,Injured,F,36.90909090909091
2021-03-10,168,Killed,F,30.0
2021-03-11,170,Injured,F,34.44
2021-03-12,172,Injured,F,40.559322033898304
2021-03-13,175,Injured,F,32.96969696969697
2021-03-14,178,Injured,F,37.36
2021-03-15,180,Injured,F,43.07142857142857
2021-03-16,182,Injured,F,42.26470588235294
2021-03-17,184,Injured,F,40.0
2021-03-18,186,Injured,F,37.31428571428572
2021-03-19,189,Injured,F,40.61702127659574
2021-03-20,191,Injured,F,39.33846153846154
2021-03-21,193,Injured,F,36.03508771929825
2021-03-22,195,Injured,F,38.65
2021-03-23,198,Injured,F,39.24390243902439
2021-03-24,200,Injured,F,36.271186440677965
2021-03-25,203,Injured,F,39.41379310344828
2021-03-26,205,Injured,F,39.280701754385966
2021-03-27,207,Injured,F,39.43478260869565
2021-03-28,210,Injured,F,33.57692307692308
2021-03-29,213,Injured,F,38.96078431372549
2021-03-30,215,Injured,F,39.03921568627451
2021-03-30,217,Killed,F,64.0
2021-03-31,218,Injured,F,37.15686274509804
2021-04-01,220,Injured,F,38.92592592592592
2021-04-02,223,Injured,F,39.67391304347826
2021-04-03,225,Injured,F,37.68253968253968
2021-04-03,227,Killed,F,73.0
2021-04-04,228,Injured,F,35.595238095238095
2021-04-04,230,Killed,F,95.0
2021-04-05,231,Injured,F,37.15
2021-04-06,233,Injured,F,37.51923076923077
2021-04-07,235,Injured,F,32.18367346938776
2021-04-08,238,Injured,F,36.035714285714285
2021-04-09,241,Injured,F,39.92105263157895
2021-04-10,244,Injured,F,38.05172413793103
2021-04-11,247,Injured,F,31.11111111111111
2021-04-12,249,Injured,F,39.14634146341464
2021-04-13,251,Injured,F,32.81481481481482
2021-04-14,254,Injured,F,38.25757575757576
2021-04-15,256,Injured,F,34.72727272727273
2021-04-15,258,Killed,F,45.0
2021-04-16,259,Injured,F,38.75438596491228
2021-04-17,261,Injured,F,39.45238095238095
2021-04-18,264,Injured,F,32.28358208955224
2021-04-19,267,Injured,F,36.91228070175438
2021-04-19,269,Killed,F,81.0
2021-04-20,271,Injured,F,41.14814814814815
2021-04-21,273,Injured,F,33.440677966101696
2021-04-22,276,Injured,F,36.54761904761905
2021-04-22,278,Killed,F,57.0
2021-04-23,279,Injured,F,39.51111111111111
2021-04-24,282,Injured,F,34.67857142857143
2021-04-24,284,Killed,F,77.0
2021-04-25,286,Injured,F,37.72222222222222
2021-04-26,289,Injured,F,36.47058823529412
2021-04-27,292,Injured,F,38.0
2021-04-28,295,Injured,F,35.95454545454545
2021-04-29,297,Injured,F,37.42105263157895
2021-04-30,300,Injured,F,34.25454545454546
2021-05-01,302,Injured,F,33.56410256410256
2021-05-02,305,Injured,F,34.702127659574465
2021-05-02,307,Killed,F,62.0
2021-05-03,308,Injured,F,35.55882352941177
2021-05-04,311,Injured,F,36.98039215686274
2021-05-05,313,Injured,F,43.910714285714285
2021-05-06,315,Injured,F,40.671875
2021-05-07,318,Injured,F,36.23076923076923
2021-05-08,320,Injured,F,35.91228070175438
2021-05-09,322,Injured,F,32.33962264150944
2021-05-10,325,Injured,F,40.319148936170215
2021-05-11,327,Injured,F,35.75324675324676
2021-05-12,330,Injured,F,38.96491228070175
2021-05-13,332,Injured,F,35.705882352941174
2021-05-14,335,Injured,F,37.8
2021-05-15,338,Injured,F,33.59375
2021-05-16,340,Injured,F,33.82
2021-05-17,342,Injured,F,35.47272727272728
2021-05-18,345,Injured,F,40.96153846153846
2021-05-19,348,Injured,F,39.83870967741935
2021-05-19,350,Killed,F,74.0
2021-05-20,351,Injured,F,39.30434782608695
2021-05-20,353,Killed,F,73.0
2021-05-21,354,Injured,F,36.083333333333336
2021-05-21,356,Killed,F,22.0
2021-05-22,358,Injured,F,34.40816326530612
2021-05-23,361,Injured,F,34.97058823529412
2021-05-23,363,Killed,F,82.0
2021-05-24,364,Injured,F,38.90196078431372
2021-05-25,367,Injured,F,36.97590361445784
2021-05-25,369,Killed,F,47.0
2021-05-26,370,Injured,F,35.15151515151515
2021-05-27,373,Injured,F,37.13953488372093
2021-05-28,375,Injured,F,38.45588235294117
2021-05-28,377,Killed,F,46.5
2021-05-29,379,Injured,F,31.071428571428573
2021-05-30,381,Injured,F,35.404761904761905
2021-05-31,384,Injured,F,35.2
2021-06-01,387,Injured,F,37.63157894736842
2021-06-02,390,Injured,F,36.90909090909091
2021-06-03,392,Injured,F,40.28888888888889
2021-06-04,394,Injured,F,32.75409836065574
2021-06-04,396,Killed,F,65.0
2021-06-05,398,Injured,F,38.25862068965517
2021-06-06,400,Injured,F,33.0
2021-06-07,402,Injured,F,34.58108108108108
2021-06-08,404,Injured,F,41.280701754385966
2021-06-09,406,Injured,F,37.78125
2021-06-10,408,Injured,F,34.323076923076925
2021-06-11,411,Injured,F,37.03278688524591
2021-06-11,413,Killed,F,56.0
2021-06-12,414,Injured,F,35.32394366197183
2021-06-12,416,Killed,F,57.0
2021-06-13,418,Injured,F,33.43859649122807
2021-06-14,421,Injured,F,38.25
2021-06-15,423,Injured,F,39.72602739726028
2021-06-16,426,Injured,F,40.33802816901409
2021-06-17,429,Injured,F,37.50704225352113
2021-06-18,432,Injured,F,38.1875
2021-06-19,435,Injured,F,31.672727272727272
2021-06-20,438,Injured,F,33.78260869565217
2021-06-21,441,Injured,F,38.29032258064516
2021-06-22,443,Injured,F,40.32786885245902
2021-06-23,445,Injured,F,38.39705882352941
2021-06-24,447,Injured,F,38.66666666666666
2021-06-24,449,Killed,F,58.0
2021-06-25,450,Injured,F,35.546875
2021-06-26,452,Injured,F,32.611111111111114
2021-06-27,454,Injured,F,37.84507042253521
2021-06-28,456,Injured,F,37.71428571428572
2021-06-29,459,Injured,F,38.76923076923077
2021-06-29,461,Killed,F,77.0
2021-06-30,463,Injured,F,36.9
2021-07-01,465,Injured,F,40.19672131147541
2021-07-02,468,Injured,F,34.45783132530121
2021-07-03,470,Injured,F,33.28333333333333
2021-07-03,472,Killed,F,20.0
2021-07-04,473,Injured,F,36.73214285714285
2021-07-05,475,Injured,F,33.43636363636364
2021-07-06,477,Injured,F,34.278688524590166
2021-07-07,479,Injured,F,35.10204081632653
2021-07-08,482,Injured,F,35.193548387096776
2021-07-09,485,Injured,F,36.15584415584416
2021-07-09,487,Killed,F,67.0
2021-07-10,489,Injured,F,33.61224489795919
2021-07-11,492,Injured,F,37.08695652173913
2021-07-12,495,Injured,F,39.20454545454545
2021-07-13,497,Injured,F,40.22916666666666
2021-07-13,499,Killed,F,33.0
2021-07-14,500,Injured,F,37.28260869565217
2021-07-14,502,Killed,F,85.0
2021-07-15,503,Injured,F,37.46052631578947
2021-07-16,505,Injured,F,35.01587301587302
2021-07-16,507,Killed,F,70.0
2021-07-17,508,Injured,F,35.3780487804878
2021-07-18,510,Injured,F,33.84705882352941
2021-07-19,513,Injured,F,38.47692307692308
2021-07-20,516,Injured,F,36.60655737704918
2021-07-21,518,Injured,F,36.97674418604651
2021-07-22,520,Injured,F,37.017857142857146
2021-07-23,523,Injured,F,37.75555555555555
2021-07-24,525,Injured,F,32.86363636363637
2021-07-24,527,Killed,F,20.5
2021-07-25,529,Injured,F,34.36507936507937
2021-07-26,531,Injured,F,36.49122807017544
2021-07-27,534,Injured,F,39.1864406779661
2021-07-28,536,Injured,F,33.421875
2021-07-29,539,Injured,F,41.33846153846154
2021-07-30,542,Injured,F,37.01428571428571
2021-07-31,545,Injured,F,36.23376623376623
2021-08-01,548,Injured,F,36.11904761904762
2021-08-01,550,Killed,F,77.0
2021-08-02,552,Injured,F,39.333333333333336
2021-08-03,554,Injured,F,39.967213114754095
2021-08-03,556,Killed,F,91.0
2021-08-04,557,Injured,F,38.435483870967744
2021-08-05,559,Injured,F,42.10526315789474
2021-08-06,562,Injured,F,34.65151515151515
2021-08-07,564,Injured,F,35.15873015873016
2021-08-07,566,Killed,F,36.0
2021-08-08,567,Injured,F,36.16363636363637
2021-08-09,570,Injured,F,39.12307692307692
2021-08-09,572,Killed,F,20.0
2021-08-10,574,Injured,F,35.73972602739726
2021-08-11,577,Injured,F,36.96363636363636
2021-08-12,579,Injured,F,37.11864406779661
2021-08-13,581,Injured,F,37.333333333333336
2021-08-14,584,Injured,F,38.02127659574468
2021-08-15,587,Injured,F,31.79032258064516
2021-08-16,590,Injured,F,38.93478260869565
2021-08-17,592,Injured,F,36.88135593220339
2021-08-17,594,Killed,F,90.0
2021-08-18,595,Injured,F,35.607142857142854
2021-08-19,597,Injured,F,39.41176470588236
2021-08-20,599,Injured,F,37.94827586206897
2021-08-21,601,Injured,F,40.278688524590166
2021-08-21,603,Killed,F,18.0
2021-08-22,605,Injured,F,32.87096774193548
2021-08-23,607,Injured,F,38.193548387096776
2021-08-24,609,Injured,F,36.94871794871795
2021-08-24,611,Killed,F,38.0
2021-08-25,613,Injured,F,39.815384615384616
2021-08-26,615,Injured,F,38.68253968253968
2021-08-27,618,Injured,F,37.0
2021-08-27,620,Killed,F,69.0
2021-08-28,622,Injured,F,35.5
2021-08-28,624,Killed,F,44.0
2021-08-29,625,Injured,F,36.193548387096776
2021-08-30,628,Injured,F,42.283018867924525
2021-08-31,630,Injured,F,36.9622641509434
2021-09-01,633,Injured,F,36.75471698113208
2021-09-02,635,Injured,F,41.172413793103445
2021-09-02,637,Killed,F,62.0
2021-09-03,638,Injured,F,41.08928571428572
2021-09-04,640,Injured,F,35.73255813953488
2021-09-05,643,Injured,F,39.640625
2021-09-06,646,Injured,F,33.92063492063492
2021-09-07,648,Injured,F,39.05263157894737
2021-09-07,650,Killed,F,68.0
2021-09-08,652,Injured,F,37.10169491525424
2021-09-09,654,Injured,F,43.27659574468085
2021-09-10,656,Injured,F,41.25675675675676
2021-09-11,659,Injured,F,33.0625
2021-09-11,661,Killed,F,73.0
2021-09-12,663,Injured,F,36.371428571428574
2021-09-13,665,Injured,F,37.50909090909091
2021-09-14,667,Injured,F,32.0
2021-09-15,669,Injured,F,35.891891891891895
2021-09-16,671,Injured,F,38.86046511627907
2021-09-17,673,Injured,F,34.929577464788736
2021-09-18,675,Injured,F,34.28378378378378
2021-09-19,678,Injured,F,35.26315789473684
2021-09-20,681,Injured,F,38.142857142857146
2021-09-21,684,Injured,F,39.63636363636363
2021-09-22,687,Injured,F,36.76470588235294
2021-09-23,689,Injured,F,37.14516129032258
2021-09-24,691,Injured,F,37.51851851851852
2021-09-25,693,Injured,F,33.29032258064516
2021-09-26,696,Injured,F,33.94827586206897
2021-09-27,698,Injured,F,36.92424242424242
2021-09-28,701,Injured,F,43.45614035087719
2021-09-28,703,Killed,F,60.5
2021-09-29,705,Injured,F,38.53947368421053
2021-09-30,707,Injured,F,39.23611111111112
2021-10-01,709,Injured,F,35.60919540229885
2021-10-02,711,Injured,F,35.70967741935484
2021-10-03,714,Injured,F,40.5625
2021-10-04,716,Injured,F,41.06153846153846
2021-10-04,718,Killed,F,81.0
2021-10-05,719,Injured,F,39.892857142857146
2021-10-06,721,Injured,F,34.0
2021-10-07,724,Injured,F,38.578947368421055
2021-10-08,727,Injured,F,36.98360655737705
2021-10-09,729,Injured,F,44.0
2021-10-10,731,Injured,F,36.8936170212766
2021-10-11,734,Injured,F,32.732142857142854
2021-10-12,737,Injured,F,39.07936507936508
2021-10-13,740,Injured,F,41.6875
2021-10-14,743,Injured,F,38.15584415584416
2021-10-14,745,Killed,F,68.0
2021-10-15,746,Injured,F,36.24657534246575
2021-10-16,749,Injured,F,38.69117647058823
2021-10-17,751,Injured,F,36.91428571428571
2021-10-17,753,Killed,F,22.0
2021-10-18,755,Injured,F,40.01960784313726
2021-10-18,757,Killed,F,27.0
2021-10-19,759,Injured,F,37.56140350877193
2021-10-19,761,Killed,F,39.0
2021-10-20,762,Injured,F,39.25
2021-10-21,764,Injured,F,35.67213114754098
2021-10-22,766,Injured,F,36.20238095238095
2021-10-23,769,Injured,F,37.47058823529412
2021-10-24,772,Injured,F,39.14
2021-10-24,774,Killed,F,2.0
2021-10-25,775,Injured,F,36.18867924528302
2021-10-26,777,Injured,F,35.86486486486486
2021-10-27,779,Injured,F,37.30769230769231
2021-10-28,781,Injured,F,37.92
2021-10-29,784,Injured,F,36.388888888888886
2021-10-29,786,Killed,F,2.0
2021-10-30,788,Injured,F,37.27272727272727
2021-10-31,790,Injured,F,32.18292682926829
2021-11-01,792,Injured,F,37.54545454545455
2021-11-02,795,Injured,F,42.1
2021-11-02,797,Killed,F,24.0
2021-11-03,798,Injured,F,32.87096774193548
2021-11-04,801,Injured,F,38.54166666666666
2021-11-05,803,Injured,F,42.36764705882353
2021-11-06,806,Injured,F,42.71212121212121
2021-11-07,808,Injured,F,33.4
2021-11-08,810,Injured,F,39.08450704225352
2021-11-09,812,Injured,F,41.4
2021-11-10,815,Injured,F,39.44927536231884
2021-11-10,817,Killed,F,78.0
2021-11-11,818,Injured,F,40.654545454545456
2021-11-12,821,Injured,F,37.14705882352941
2021-11-13,823,Injured,F,35.16949152542373
2021-11-14,825,Injured,F,38.04166666666666
2021-11-14,827,Killed,F,56.0
2021-11-15,829,Injured,F,40.22641509433962
2021-11-16,831,Injured,F,34.212765957446805
