CRASH_DATETIME,PERSON_AGE
2021-01-01,242
2021-01-04,79
2021-01-05,76
2021-01-06,76
2021-01-07,110
2021-01-08,268
2021-01-11,69
2021-01-12,78
2021-01-13,71
2021-01-14,89
2021-01-15,275
2021-01-18,75
2021-01-19,73
2021-01-20,78
2021-01-21,94
2021-01-22,261
2021-01-25,67
2021-01-26,97
2021-01-27,80
2021-01-28,71
2021-01-29,259
2021-02-01,32
2021-02-02,33
2021-02-03,44
2021-02-04,77
2021-02-05,271
2021-02-08,77
2021-02-09,54
2021-02-10,87
2021-02-11,70
2021-02-12,242
2021-02-15,72
2021-02-16,67
2021-02-17,83
2021-02-18,96
2021-02-19,226
2021-02-22,61
2021-02-23,80
2021-02-24,109
2021-02-25,77
2021-02-26,295
2021-03-01,61
2021-03-02,106
2021-03-03,80
2021-03-04,67
2021-03-05,257
2021-03-08,76
2021-03-09,112
2021-03-10,91
2021-03-11,124
2021-03-12,271
2021-03-15,82
2021-03-16,74
2021-03-17,91
2021-03-18,73
2021-03-19,358
2021-03-22,118
2021-03-23,101
2021-03-24,112
2021-03-25,91
2021-03-26,371
2021-03-29,90
2021-03-30,84
2021-03-31,115
2021-04-01,108
2021-04-02,339
2021-04-05,129
2021-04-06,137
2021-04-07,115
2021-04-08,139
2021-04-09,308
2021-04-12,106
2021-04-13,121
2021-04-14,120
2021-04-15,90
2021-04-16,349
2021-04-19,121
2021-04-20,147
2021-04-21,118
2021-04-22,78
2021-04-23,372
2021-04-26,133
2021-04-27,85
2021-04-28,182
2021-04-29,129
2021-04-30,476
2021-05-03,172
2021-05-04,147
2021-05-05,116
2021-05-06,130
2021-05-07,376
2021-05-10,104
2021-05-11,165
2021-05-12,138
2021-05-13,138
2021-05-14,467
2021-05-17,117
2021-05-18,153
2021-05-19,139
2021-05-20,135
2021-05-21,472
2021-05-24,115
2021-05-25,170
2021-05-26,140
2021-05-27,199
2021-05-28,307
2021-05-31,133
2021-06-01,143
2021-06-02,147
2021-06-03,91
2021-06-04,449
2021-06-07,165
2021-06-08,128
2021-06-09,166
2021-06-10,142
2021-06-11,467
2021-06-14,127
2021-06-15,153
2021-06-16,152
2021-06-17,151
2021-06-18,451
2021-06-21,148
2021-06-22,116
2021-06-23,162
2021-06-24,154
2021-06-25,488
2021-06-28,173
2021-06-29,163
2021-06-30,130
2021-07-01,133
2021-07-02,405
2021-07-05,132
2021-07-06,136
2021-07-07,116
2021-07-08,144
2021-07-09,408
2021-07-12,112
2021-07-13,111
2021-07-14,118
2021-07-15,162
2021-07-16,479
2021-07-19,112
2021-07-20,139
2021-07-21,117
2021-07-22,130
2021-07-23,441
2021-07-26,169
2021-07-27,128
2021-07-28,121
2021-07-29,144
2021-07-30,473
2021-08-02,153
2021-08-03,133
2021-08-04,128
2021-08-05,87
2021-08-06,440
2021-08-09,141
2021-08-10,179
2021-08-11,105
2021-08-12,149
2021-08-13,448
2021-08-16,125
2021-08-17,159
2021-08-18,128
2021-08-19,110
2021-08-20,395
2021-08-23,127
2021-08-24,162
2021-08-25,129
2021-08-26,144
2021-08-27,465
2021-08-30,116
2021-08-31,130
2021-09-01,109
2021-09-02,144
2021-09-03,469
2021-09-06,159
2021-09-07,160
2021-09-08,134
2021-09-09,120
2021-09-10,447
2021-09-13,130
2021-09-14,165
2021-09-15,160
2021-09-16,109
2021-09-17,458
2021-09-20,133
2021-09-21,130
2021-09-22,113
2021-09-23,124
2021-09-24,439
2021-09-27,119
2021-09-28,124
2021-09-29,165
2021-09-30,144
2021-10-01,433
2021-10-04,94
2021-10-05,119
2021-10-06,110
2021-10-07,140
2021-10-08,404
2021-10-11,117
2021-10-12,144
2021-10-13,112
2021-10-14,138
2021-10-15,484
2021-10-18,116
2021-10-19,126
2021-10-20,141
2021-10-21,136
2021-10-22,415
2021-10-25,129
2021-10-26,128
2021-10-27,131
2021-10-28,134
2021-10-29,455
2021-11-01,109
2021-11-02,112
2021-11-03,124
2021-11-04,100
2021-11-05,392
2021-11-08,126
2021-11-09,128
2021-11-10,142
2021-11-11,103
2021-11-12,390
2021-11-15,125
2021-11-16,105
